ID,Name(Romaji),Name(Localised),Nickname,Gender,Game,Type,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,円堂,男 (Male),イナズマイレブン,選手 (Player),GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Shoot > Shoot
4417,Kosuke Okano,Wolfe Redwood,丘野,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,山 (Mountain),Breach,Nutmeg | Dance on Air | Dash Accelerator,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Offense,Defense > Offense | Shoot > Shoot
4418,Gen Kusaka,Raven Vale,草加,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Tension,Heel Flick | Celestial Saw | Divine Dummy,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Shoot,Offense > Offense | Shoot > Shoot
4419,Yuma Nosaka,Heath Moore,野坂,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,DF,火 (Fire),Counter,Curve Shot | Royal Lancer | Dance on Air,114.0,112.0,102.0,91.0,88.0,85.0,100.0,692,Shoot > Shoot,Shoot > Offense | Defense > Defense
4420,Ichiya Haoto,Leif Bolt,葉音,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Tension,Bounce Shot | Fire Tornado | Scorching Tackle,112.0,109.0,99.0,88.0,86.0,81.0,97.0,672,Shoot > Shoot,Shoot > Offense | Offense > Offense
4421,Kosuke Takemi,Lucian Skye,竹見,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,GK,林 (Forest),Rough Play,Heel Flick | Southern Cross | Twister Trap,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Offense,Offense > Offense | Keep > Keep
4422,Asahi Yudo,Solren Dawnwright,湯堂,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,FW,山 (Mountain),Tension,Mighty Save | Shot Pocket | Shadow Catch,85.0,93.0,88.0,95.0,103.0,109.0,94.0,667,Keep > Keep,Keep > Keep | Shoot > Shoot
4423,Issei Shiina,Elior March,椎名,不可,イナズマイレブン アレスの天秤,選手 (Player),DF,FW,風 (Wind),Rough Play,Feint Dash | Divine Dummy | Coil Turn,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Offense > Offense,Defense > Defense | Shoot > Shoot
4424,Reiho Yamashiro,Raylon Highmoor,山 (Mountain)城,不可,イナズマイレブン アレスの天秤,選手 (Player),MF,DF,風 (Wind),Tension,Heel Flick | Dance on Air | Afterimage,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Offense,Defense > Defense | Defense > Defense
4425,Shigesato Fujiyabu,Fedrin Fennley,藤藪,不可,イナズマイレブン アレスの天秤,選手 (Player),DF,MF,林 (Forest),Rough Play,Shoulder Tackle | Deceptor Dribble | Ghost Pull,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Offense,Defense > Defense | Offense > Offense
4426,Shinjiro Arashi,Curt Gale,嵐,男 (Male),イナズマイレブン アレスの天秤,監督 (Manager),MF,GK,火 (Fire),Justice,Heel Flick | Double Touch | Shot Stopper,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Offense,Offense > Offense | Keep > Keep
4427,Kento Josai,Knox Loxley,城西,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,FW,火 (Fire),Bond,Power Catch | Toughness Block | Burnout,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Shoot > Shoot
4428,Taiho Maeno,Björn Brocken,前野,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,山 (Mountain),Justice,Feint Play | The Wall | Stone Wall,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Defense > Defense | Offense > Offense
4429,Taizo Hirata,Lunk Ironbrow,平田,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,山 (Mountain),Justice,Feint Play | Frankenstun | The Wall,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Defense > Defense | Shoot > Shoot
4430,Moko Moriagari,Hefton Bulk,盛上,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,山 (Mountain),Bond,Shoulder Tackle | Easter Island Header | The Wall,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Offense > Offense | Shoot > Shoot
4431,Nagamine Banri,Barry Cade,万里,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,山 (Mountain),Tension,Shoulder Tackle | The Wall | Stone Wall,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Defense > Offense | Offense > Offense
4432,Tsumio Buroku,Rick Wall,武六,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Tension,Dust Kick | The Wall | Circus Block,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Defense > Defense | Shoot > Shoot
4433,Tatsuo Tateno,Ivor Shield,盾野,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,山 (Mountain),Justice,Deceptive Step | The Wall | Desert Blast,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Defense > Defense | Shoot > Shoot
4434,Kogoro Tetsugoshi,Rocky Hardcastle,鉄豪士,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,風 (Wind),Counter,Crosscut Feint | Defence Scan | Aikido,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Shoot | Defense > Defense
4435,Sarukichi Ugo,Waldo Gibbons,宇郷,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Bond,Power Shot | Reflect Buster | Hellfire,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Shoot,Defense > Shoot | Offense > Offense
4436,Noboro Iwagaki,Sebastian Fortwright,岩垣,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,GK,林 (Forest),Tension,Deceptive Step | The Wall | Super Armadillo,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Offense > Shoot | Keep > Keep
4437,Yamori Ishikabe,Iggy Motte,石壁,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,風 (Wind),Counter,Curve Shot | Dragon Crash | Condor Dive,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Shoot,Offense > Shoot | Offense > Offense
4438,Heigoro Kabeyama,Jack Wallside,壁山 (Mountain),男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,山 (Mountain),Justice,Cunning Pull | The Wall | Super Armadillo,90.0,94.0,95.0,102.0,105.0,91.0,114.0,691,Defense > Defense,Offense > Defense | Offense > Offense
4439,Koken Kakoi,Corbin Brickham,囲井,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,火 (Fire),Tension,Cunning Pull | The Wall | Desert Blast,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Defense > Defense | Defense > Offense
4440,Miko Kofun,Helena Harwood,弥呼,女 (Female),イナズマイレブン アレスの天秤,選手 (Player),GK,DF,風 (Wind),Tension,Mighty Save | Flower Power | Fingers of Gaia,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Defense > Defense
4441,Ryuki Tsukauchi,Dane Upchurch,塚内,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,DF,山 (Mountain),Tension,Deceptive Step | Utter Gutsiness Club | Circus Block,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Defense | Defense > Defense
4442,Keiei Kadotsu,Warden Watchford,門都,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Justice,Crosscut Feint | The Wall | Harvest,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Defense > Offense | Shoot > Shoot
4443,Ganseki Saito,Fortnum Pile,岩石,男 (Male),イナズマイレブン アレスの天秤,監督 (Manager),GK,FW,火 (Fire),Rough Play,Power Catch | Infinite Wall | Gigant Wall,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Shoot > Shoot
4444,Nagao Hosoi,Skinner Lankley,細井,男 (Male),イナズマイレブン アレスの天秤,コーチ (Coach),FW,MF,山 (Mountain),Breach,Power Shot | Gaia Break | Three-Legged Rush,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4445,Kizuku Yamashiro,Bastiana Chateau,きずく,女 (Female),イナズマイレブン アレスの天秤,マネージャー (Coordinator),DF,MF,林 (Forest),Breach,Feint Play | Afterimage | Spatial Portal,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Defense
4446,Yakata Ogosho,Trice Topper,大御所,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,FW,火 (Fire),Bond,Mighty Save | Toughness Block | Rocket Kobushi,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Shoot > Shoot
4447,Mamoru Nishigaki,Malcolm Night,西垣,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,火 (Fire),Counter,Curving Cut | Dash Accelerator | Spinning Cut,82.0,87.0,85.0,102.0,107.0,89.0,119.0,671,Defense > Offense,Shoot > Defense | Offense > Offense
4448,Akihi Megawa,Alfred Meenan,女 (Female)川,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,林 (Forest),Justice,Cunning Pull | Quick Draw | Hurricane Arrows,82.0,87.0,85.0,102.0,107.0,89.0,119.0,671,Defense > Defense,Offense > Offense | Offense > Offense
4449,Dan Mitsumune,Dan Mirthful,光宗,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,林 (Forest),Rough Play,Shoulder Tackle | Spinning Cut | Earthquake,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Shoot | Shoot > Shoot
4450,Ritsuki Kurobe,Ricky Clover,黒部,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,山 (Mountain),Justice,Curving Cut | Coil Turn | Hurricane Arrows,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Shoot | Shoot > Shoot
4451,Dan Tobiyama,Toby Damian,跳山 (Mountain),男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,風 (Wind),Bond,Heel Flick | Moonsault | Back Tornado,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Offense,Defense > Shoot | Shoot > Shoot
4452,Naoto Yakata,York Nashmith,屋形,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Justice,Deceptive Step | Boost Glider | Hawk Shot,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Offense,Offense > Shoot | Shoot > Shoot
4453,Sakito Mogi,Zachary Moore,茂木,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Breach,Nutmeg | Hawk Shot | Illusory Ball,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Shoot > Offense | Shoot > Shoot
4454,Masaru Mukata,Marvin Murdock,勝,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Rough Play,Power Shot | Back Tornado | Triangle Z,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Offense > Offense | Offense > Offense
4455,Tomo Mukata,Thomas Murdock,友,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,風 (Wind),Rough Play,Bounce Shot | Back Tornado | Triangle Z,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Offense > Defense | Offense > Offense
4456,Tsutomu Mukata,Tyler Murdock,努,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,山 (Mountain),Justice,Curve Shot | Back Tornado | Triangle Z,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Offense > Defense | Offense > Offense
4457,Shuya Goenji,Axel Blaze,豪炎寺,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Justice,Bounce Shot | Fire Tornado | Scorching Tackle,121.0,115.0,105.0,88.0,85.0,85.0,93.0,692,Shoot > Shoot,Shoot > Shoot | Offense > Offense
4458,Atomi Mito,Hilary Prentice,水戸,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,風 (Wind),Bond,Feint Dash | Hurricane Arrows | Back Tornado,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Offense > Shoot | Defense > Defense
4459,Madoka Hoshino,Jodi Green,星乃,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,火 (Fire),Bond,Cunning Pull | Hurricane Arrows | Shooting Star,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Offense > Offense | Shoot > Shoot
4460,Shugo Nikaido,Seth Nichols,二階堂,男 (Male),イナズマイレブン アレスの天秤,監督 (Manager),DF,FW,風 (Wind),Justice,Rolling Steal | Fire Tornado | The Tower,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Shoot,Defense > Defense | Shoot > Shoot
4461,Suzu Tanba,Lynn Tambelle,丹波,女 (Female),イナズマイレブン アレスの天秤,マネージャー (Coordinator),DF,GK,林 (Forest),Counter,Rolling Steal | Spinning Cut | Hurricane Arrows,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Offense > Defense | Keep > Keep
4462,Nao Oma,Gideon Poe,小間,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,FW,火 (Fire),Counter,Strong Punch | Shot Pocket | Rocket Kobushi,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Shoot > Shoot
4463,Yu Hiroyama,Harry Leading,誘,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,風 (Wind),Breach,Curving Cut | Defence Scan | About Face,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Offense > Shoot | Offense > Offense
4464,Tsuyoshi Hanaoka,Terry Stronger,強,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,火 (Fire),Justice,Curving Cut | Defence Scan | Attack Scan,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Shoot | Shoot > Shoot
4465,Kyo Murobushi,Philip Marvel,恐,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,山 (Mountain),Breach,Shoulder Tackle | Defence Scan | Dynamite Shot,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Offense > Offense | Offense > Offense
4466,Nori Inada,Noel Good,則,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,山 (Mountain),Rough Play,Curving Cut | Defence Scan | Attack Scan,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Shoot > Defense | Offense > Offense
4467,Den Segawa,Electra Faraday,瀬川,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,風 (Wind),Bond,Crosscut Feint | Psycho Shot | Attack Scan,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Shoot,Shoot > Defense | Defense > Defense
4468,Kei Fujimaru,Francis Tell,啓,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Bond,Heel Flick | Attack Scan | Psycho Shot,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Offense,Defense > Defense | Shoot > Shoot
4469,Michiru Enami,Darren Gouger,江波,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,山 (Mountain),Rough Play,Dust Kick | Sub-Terfuge | Defence Scan,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Offense,Offense > Shoot | Defense > Defense
4470,Seri Yamagishi,Jonathan Seller,迫,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,風 (Wind),Justice,Bounce Shot | Psycho Shot | Attack Scan,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Defense > Shoot | Offense > Offense
4471,Shin Obe,Victor Kind,信,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Bond,Crosscut Feint | Defence Scan | Psycho Shot,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Shoot | Shoot > Shoot
4472,Arata Shimozuru,Neil Turner,改,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Breach,Bounce Shot | Patriot Shot | Attack Scan,112.0,109.0,99.0,88.0,86.0,81.0,97.0,672,Shoot > Shoot,Shoot > Defense | Offense > Offense
4481,Kakumei Wagano,Des Pott,我野,男 (Male),イナズマイレブン アレスの天秤,監督 (Manager),MF,DF,火 (Fire),Counter,Dust Kick | Attack Scan | Patriot Shot,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Offense,Defense > Offense | Defense > Defense
4482,Yattaro Kikai,Jethro Mackin,機械,男 (Male),イナズマイレブン アレスの天秤,マネージャー (Coordinator),MF,FW,風 (Wind),Tension,Dust Kick | Attack Scan | Defence Scan,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Offense,Shoot > Defense | Shoot > Shoot
4483,Kojiro Genda,Joseph King,げんおう,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,MF,火 (Fire),Breach,Mighty Save | Full Power Shield | Savage Beast Fang,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Defense | Offense > Offense
4484,Densuke Ono,Peter Drent,だいでん,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,山 (Mountain),Rough Play,Curving Cut | Earthquake | Illusory Ball,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Defense,Shoot > Defense | Shoot > Shoot
4485,Kazumichi Banjo,Ben Simmons,万丈,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,林 (Forest),Justice,Shoulder Tackle | Cyclone | Killer Slide,82.0,87.0,85.0,102.0,107.0,89.0,119.0,671,Defense > Defense,Offense > Shoot | Offense > Offense
4486,Kenya Narukami,Alan Master,成神,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,風 (Wind),Breach,Crosscut Feint | Killer Slide | Illusory Ball,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Shoot > Defense | Defense > Defense
4487,Masaru Gojo,Gus Martin,五条,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,林 (Forest),Bond,Rolling Steal | Killer Slide | Clone Faker,87.0,91.0,92.0,99.0,104.0,89.0,112.0,674,Defense > Defense,Offense > Defense | Offense > Offense
4488,Wataru Henmi,Herman Waldon,辺見,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,風 (Wind),Rough Play,Nutmeg | Killer Slide | Foul Offence,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Shoot > Defense | Shoot > Shoot
4489,Shuji Sakiyama,John Bloom,咲山 (Mountain),男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,火 (Fire),Tension,Crosscut Feint | Killer Slide | Foul Offence,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Defense,Shoot > Shoot | Shoot > Shoot
4490,Shuichiro Domen,Derek Swing,洞面,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,風 (Wind),Counter,Dust Kick | Clone Faker | Killer Slide,97.0,113.0,114.0,85.0,81.0,81.0,101.0,672,Offense > Offense,Shoot > Shoot | Shoot > Shoot
4491,Daiki Jimon,Daniel Hatch,寺門,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,DF,林 (Forest),Rough Play,Chip Shot | Wrath Shot | Foul Offence,112.0,109.0,99.0,88.0,86.0,81.0,97.0,672,Shoot > Shoot,Shoot > Offense | Defense > Defense
4492,Jiro Sakuma,David Samford,佐久間,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,林 (Forest),Counter,Power Shot | Emperor Penguin No. 2 | Clone Faker,121.0,115.0,105.0,88.0,85.0,85.0,93.0,692,Shoot > Shoot,Defense > Shoot | Offense > Offense
4493,Ichirota Kazemaru,Nathan Swift,風 (Wind)丸,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,風 (Wind),Justice,Feint Play | Flurry Dash | Clone Defence,90.0,94.0,95.0,102.0,105.0,91.0,114.0,691,Defense > Offense,Offense > Shoot | Offense > Offense
4495,Kageru Shimerigawa,Grotley Bogwash,湿川,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,FW,風 (Wind),Justice,Strong Punch | Mistral | Utter Gutsiness Catch,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Keep > Keep | Shoot > Shoot
4496,Akio Fudo,Caleb Stonewall,不動,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,火 (Fire),Rough Play,Dust Kick | Killer Slide | Triple Boost,104.0,112.0,109.0,91.0,92.0,85.0,100.0,693,Offense > Defense,Offense > Shoot | Shoot > Shoot
4500,Reiji Kageyama,Ray Dark,影山 (Mountain),男 (Male),イナズマイレブン アレスの天秤,監督 (Manager),MF,FW,風 (Wind),Rough Play,Dust Kick | Killer Slide | Illusory Ball,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Defense,Shoot > Shoot | Shoot > Shoot
4501,Ginpei Kodera,Emperio N. Guinn,皇寺,男 (Male),イナズマイレブン アレスの天秤,マネージャー (Coordinator),DF,GK,風 (Wind),Rough Play,Cunning Pull | Killer Slide | Foul Offence,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Defense,Defense > Defense | Keep > Keep
4502,Donji Posei,Ross Siddon,DJ,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,FW,山 (Mountain),Bond,Power Catch | Tsunami Wall | Gigant Wall,85.0,93.0,88.0,95.0,103.0,109.0,94.0,667,Keep > Keep,Keep > Keep | Shoot > Shoot
4503,Hikaru Aporo,Apollo Light,アポロン,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,林 (Forest),Justice,Rolling Steal | Divine Stamp | Shine Drive,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Defense,Offense > Offense | Offense > Offense
4504,Tetsu Hadeno,Hadrian Diesel,ハデス,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,風 (Wind),Counter,Feint Play | Divine Stamp | Dash Storm,82.0,87.0,85.0,102.0,107.0,89.0,119.0,671,Defense > Defense,Defense > Shoot | Offense > Offense
4505,Ran Aresu,Lane War,アレス,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,山 (Mountain),Bond,Rolling Steal | Divine Stamp | Ghost Pull,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Defense,Offense > Offense | Offense > Offense
4506,Geki Deio,Danny Wood,ディオ,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,風 (Wind),Bond,Cunning Pull | Mega Quake | Zigzag Spark,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Defense,Defense > Shoot | Offense > Offense
4507,Saneki Arute,Artie Mishman,アルテミス,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,風 (Wind),Rough Play,Deceptive Step | Heaven's Time | Divine Arrows,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Offense,Offense > Defense | Defense > Defense
4508,Matsuaki Herume,Arion Matlock,ヘルメス,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,林 (Forest),Rough Play,Crosscut Feint | Heaven's Time | Divine Stamp,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Offense,Defense > Keep | Defense > Defense
4509,Tomo Atena,Wesley Knox,アテナ,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,林 (Forest),Justice,Heel Flick | Dash Storm | Reflect Buster,101.0,109.0,107.0,88.0,89.0,81.0,97.0,672,Offense > Offense,Offense > Defense | Defense > Defense
4510,Yutaka Demete,Jonas Demetrius,デメテル,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Tension,Curve Shot | Reflect Buster | Dash Storm,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Shoot > Defense | Offense > Offense
4511,Terumi Afuro,Byron Love,アフロディ,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,FW,林 (Forest),Breach,Nutmeg | God Alone Knows | Heaven's Time,104.0,112.0,109.0,91.0,92.0,85.0,100.0,693,Offense > Shoot,Shoot > Defense | Shoot > Shoot
4512,Arisu Heruse,Percy Hurst,ペルセウス,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),FW,MF,火 (Fire),Tension,Chip Shot | Celestial Saw | Heaven's Time,119.0,113.0,102.0,85.0,81.0,81.0,90.0,671,Shoot > Shoot,Defense > Shoot | Offense > Offense
4513,Kiyo Matsuzaka,Deirdre Staples,キヨ,女 (Female),イナズマイレブン アレスの天秤,監督 (Manager),FW,MF,林 (Forest),Tension,Power Shot | Deceptor Dribble | Dark Tornado,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Defense
4514,Ikuro Ushijima,Alexander Scrivener,育郎,男 (Male),イナズマイレブン アレスの天秤,コーチ (Coach),GK,MF,山 (Mountain),Tension,Power Catch | Dash Accelerator | Jumping Whack,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Defense
4515,Tetsu Hakoda,Adam Ropes,函田,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),GK,DF,風 (Wind),Bond,Strong Punch | Aurora Curtain | Mistral,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Keep,Defense > Defense | Defense > Defense
4516,Juka Matoro,Joaquine Downtown,真都路,女 (Female),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,火 (Fire),Counter,Curving Cut | Land of Ice | Sleeping Dust,87.0,90.0,92.0,99.0,103.0,89.0,112.0,672,Defense > Defense,Shoot > Offense | Shoot > Shoot
4517,Manbe Oshiya,Milton Bindings,押矢,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,FW,風 (Wind),Tension,Curving Cut | Ghost Pull | Land of Ice,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Defense,Shoot > Defense | Shoot > Shoot
4518,Soji Mabuka,Spike Gleeson,目深,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),DF,MF,林 (Forest),Justice,Shoulder Tackle | Rodeo Clown | Doppelganger,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Defense > Offense,Defense > Defense | Offense > Offense
4519,Seiya Yukino,Sean Snowfield,雪野,男 (Male),イナズマイレブン アレスの天秤,選手 (Player),MF,DF,山 (Mountain),Tension,Deceptive Step | About Face | Super Sumo Stomp,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Offense > Defense,Defense > Defense | Defense > Defense
