ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
4071,Ryugel Balan,Ruger Baran,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Breach,Low Drive | Scream of Eden | Pelion Totem,236,280.5,240.5,178,181,173,771,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4072,Gandares Balan,Gandares Baran,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Bond,Curve Shot | Scream of Eden | Belion Totem,236,280.5,240.5,178,181,173,771,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4073,Banda Korogyu Jr.,Banda Crix Junior,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Counter,Feint Dash | Mystifying Mist | Mushroom Hop,210,266.5,244.5,186,185,177,767,Offense > Defense,Offense > Offense | Defense > Defense
4074,Simur Feromona,Simeur Feromont,,女 (Female),,監督 (Manager),,DF,FW,風 (Wind),Bond,Rolling Steal | Spinning Cut | Eternal Blizzard,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Shoot > Shoot
4086,Argo Burgess,Argon Bulgess,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Counter,Mighty Save | Bounce Handler | Angydra Totem,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4087,Xeno Wolf,Xenon Reith,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Curving Cut | Stealth Step | Holograb,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Offense > Defense
4088,Radon Mome,Radon Mons,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Feint Play | Stealth Step | Holograb,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4089,Selen Melville,Selenia Mund,,女 (Female),,選手 (Player),,MF,DF,火 (Fire),Counter,Feint Dash | Holograb | Floral Fiesta,209,273.5,253.5,181,183,164,733,Offense > Offense,Offense > Offense | Defense > Defense
4090,Neorl Rotz,Neon Rotarus,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Counter,Nutmeg | Holograb | Goopy Gloopy Goo,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4091,Sulfur Berg,Brimstone Bol,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Breach,Bounce Shot | Holograb | Falling Planet,230,273,231.5,170,172,164,733,Shoot > Offense,Shoot > Shoot | Offense > Defense
4092,Phobos Quasar,Phobos Quasar,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Bond,Power Catch | Judgement Ray | Gigiras Totem,182,227.5,237.5,198,190,200,940,Keep > Defense,Keep > Keep | Defense > Defense
4093,Aegir Cepheid,Aegir Cepheid,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Breach,Curving Cut | Judgement Ray | Kulupe Totem,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Offense > Defense
4094,Ishigashi Golam,Meteo Garnet,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Justice,Feint Play | Judgement Ray | Fugue Wave,178,226.5,248.5,216,211,203,866,Defense > Defense,Defense > Offense | Offense > Defense
4095,Deimos Lepton,Deimos Lepton,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Cunning Pull | Judgement Ray | Kulupe Totem,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Offense > Defense
4096,Ymir Catena,Ymir Catena,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Shoulder Tackle | Judgement Ray | Kulupe Totem,174,222,246,213,208,199,852,Defense > Defense,Defense > Offense | Offense > Defense
4097,Sinope Linoa,Sinope Linea,,女 (Female),,選手 (Player),,DF,MF,林 (Forest),Breach,Shoulder Tackle | Judgement Ray | Land of Ice,174,222,246,213,208,199,852,Defense > Defense,Defense > Offense | Offense > Defense
4098,Tarvos Boson,Tarvos Boson,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Justice,Deceptive Step | Fancy-Footwork | Criss-Cross,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Defense | Defense > Defense
4099,Dione Bulge,Dione Bolide,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Bond,Nutmeg | Dragster | Redio Totem,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4100,Despina Lux,Despina Lux,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Breach,Low Drive | Magic Amp | Wind God's Dance,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Shoot > Offense | Offense > Defense
4101,Bitway Ozrock,Ozrock Boldar,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Rough Play,Low Drive | Stargazer | Ixaal Totem,233,277.5,238,176,177,169,758,Shoot > Shoot,Shoot > Offense | Offense > Defense
4102,Loge Colles,Loge Colles,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Rough Play,Chip Shot | Magic Amp | Bungee Ball Burst,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Offense | Offense > Defense
4103,Strem Goozer,Strem Goozer,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Tension,Mighty Save | Bastion Block | Magnatas Totem,176,220,230,193,189,198,913,Keep > Keep,Keep > Offense | Offense > Defense
4104,Fow Tudas,Fow Tudas,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Feint Play | Phalanx | Univolt Totem,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Offense > Defense
4105,Cherio Pardon,Cherio Pardon,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Rough Play,Feint Play | Phalanx | Flamey Totem,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Offense > Defense
4106,Bambaros Tower,Bambaros Tower,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Rolling Steal | Phalanx | Flamey Totem,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4107,Zartan Walder,Zartan Walder,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Feint Play | Phalanx | Flamey Totem,174,222,246,213,208,199,852,Defense > Defense,Offense > Defense | Offense > Defense
4108,Zyne Hanging,Zyne Hanging,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Rolling Steal | Phalanx | Univolt Totem,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4109,Madison Barada,Madison Barada,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Curving Cut | Phalanx | Univolt Totem,174,222,246,213,208,199,852,Defense > Defense,Offense > Defense | Offense > Defense
4110,Bind Hermit,Bindal Hermit,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Tension,Deceptive Step | Atlas Sword | Goliger Totem,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4111,Astra Justin,Astro Justin,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Breach,Crosscut Feint | Atlas Sword | Goliger Totem,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4112,Sarges Rougue,Circulus Corona,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Power Shot | Loyal Heart Shot | Gryphbang Totem,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4114,Joss Fool,Joss Fool,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Breach,Heel Flick | Atlas Sword | Goliger Totem,209,273.5,253.5,181,183,164,733,Offense > Offense,Shoot > Offense | Shoot > Shoot
4115,Ashvina Barani,Ashvina Bharani,,女 (Female),,選手 (Player),,GK,MF,風 (Wind),Rough Play,Strong Punch | Dark Reversal | Saranarja Totem,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4116,Hastar Savitar,Hastar Savitar,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Counter,Shoulder Tackle | Psychic Lift | Dandrol Totem,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4117,Apas Mulan,Apas Mulan,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Counter,Cunning Pull | Psychic Lift | Brachias Totem,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4118,Soma Lobi,Soma Lobi,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Rolling Steal | Psychic Lift | Dandrol Totem,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Offense > Defense
4119,Rudra Ardo,Rudra Ardo,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Rough Play,Rolling Steal | Psychic Lift | Brachias Totem,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Offense > Defense
4120,Bhaga Guni,Bhaga Guni,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Shoulder Tackle | Psychic Lift | Dandrol Totem,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4121,Bass Danish,Bass Danish,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Breach,Dust Kick | Psi Arrow | Vairaas Totem,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4122,Indra Vayu,Indra Vayu,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Breach,Heel Flick | Psi Arrow | Vairaas Totem,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Shoot | Defense > Defense
4123,Mitra Jeshu,Mitra Jeshu,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Counter,Crosscut Feint | Psi Arrow | Vairaas Totem,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Shoot > Shoot
4124,Aclous Obies,Arculus Orbes,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Chip Shot | Orbital Drive | Dragnova Totem,233,277.5,238,176,177,169,758,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4126,Ashray Sarpala,Ashley Sarpala,,女 (Female),,選手 (Player),,MF,DF,林 (Forest),Bond,Deceptive Step | Psi Arrow | Brachias Totem,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4127,Ptumri,Ptumri,,男 (Male),,選手 (Player),,GK,FW,林 (Forest),Tension,Power Catch | Wormhole | We Have Liftoff!,182,227.5,237.5,198,190,200,940,Keep > Keep,Keep > Keep | Shoot > Shoot
4128,Ptumri Emnator,Ptumri Emnator,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Tension,Curve Shot | Dark Tornado | Brimstone Rain,233,277.5,238,176,177,169,758,Shoot > Shoot,Shoot > Offense | Offense > Defense
4129,Ptumri Emnator,Ptumri Emnator,,両性,,選手 (Player),,FW,MF,山 (Mountain),Tension,Curve Shot | Dark Tornado | Brimstone Rain,233,277.5,238,176,177,169,758,Shoot > Shoot,Shoot > Offense | Offense > Defense
4130,Shuya Goenji,Axel Blaze,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Dust Kick | Bouncing Bomb | Ball Lightning,236,280.5,240.5,178,181,173,771,Offense > Shoot,Shoot > Shoot | Offense > Offense
4131,Yuta Matatagi,Skip Flashman,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Cunning Pull | Hyper-Swiper | Whirlwind Force,177,225.5,248.5,215,211,202,863,Defense > Defense,Offense > Offense | Offense > Defense
4132,Shun Matatagi,Chip Flashman,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Tension,Low Drive | Sonic Shot | Zephyr Shot,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Shoot > Offense | Offense > Defense
4133,Tetsu Tetsukado,Thales Foreman,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Curving Cut | Runaway Train | Racing Flame,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Offense > Defense
4134,Sakura Nozaki,Cerise Blossom,,女 (Female),,選手 (Player),,MF,FW,風 (Wind),Breach,Deceptive Step | Hoopsie-Daisy | Butterfly Trance,213,277.5,259,187,188,169,758,Offense > Offense,Offense > Offense | Shoot > Shoot
4135,Seiichi Nozaki,Cedric Blossom,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Power Shot | Optimal Trajectory | Fortissimo,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4136,Kaede Nozaki,Marigold Blossom,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Rough Play,Chip Shot | Hoopsie-Daisy | Cupid's Arrow,230,273,231.5,170,172,164,733,Shoot > Offense,Shoot > Shoot | Offense > Defense
4137,Satoko Kanda,Judy Scarriot,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Justice,Power Shot | Zephyr Shot | Hoopsie-Daisy,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4138,Jinsuke Manabe,Jasper Lerner,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Bond,Low Drive | Optimal Trajectory | Sidewinder,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4139,Kyoko Manabe,Mabel Lerner,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Justice,Nutmeg | Optimal Trajectory | Defence Equation,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Defense | Defense > Defense
4141,Kazuto Minaho,Keenan Sharpe,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Feint Play | Boomerang Bluff | Copy Cut,171,214,248.5,226,223,211,885,Defense > Offense,Defense > Offense | Offense > Defense
4142,Sakyo Minaho,Seraph Sharpe,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Cunning Pull | Cyclone Sprint | Copy Cut,167,209,244.5,224,220,208,870,Defense > Defense,Offense > Defense | Offense > Defense
4143,Mitsuyo Minaho,Miriam Sharpe,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Breach,Low Drive | Odin Sword | Accelerator Gears,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Offense > Shoot | Offense > Defense
4145,Catra Page,Catra Page,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Justice,Low Drive | Sleeping Dust | Heavenly Drive,233,277.5,238,176,177,169,758,Shoot > Defense,Offense > Shoot | Offense > Defense
4146,Laraya Obies,Laraya Orbes,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Breach,Crosscut Feint | Cupid's Arrow | Floral Fiesta,214,270.5,248.5,189,189,180,782,Offense > Shoot,Defense > Shoot | Defense > Defense
4147,Minel Eiva,Globulus Ava,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Shoulder Tackle | Asterocks | Warsaw,177,225.5,248.5,215,211,202,863,Defense > Defense,Defense > Defense | Offense > Defense
4148,Catra Page,Catra Page,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Justice,Chip Shot | Sleeping Dust | Heavenly Drive,233,277.5,238,176,177,169,758,Shoot > Defense,Offense > Shoot | Offense > Defense
4149,Laraya Obies,Laraya Orbes,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Breach,Feint Dash | Cupid's Arrow | Floral Fiesta,214,270.5,248.5,189,189,180,782,Offense > Shoot,Defense > Shoot | Defense > Defense
4150,Minel Eiva,Globulus Ava,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Feint Play | Asterocks | Warsaw,177,225.5,248.5,215,211,202,863,Defense > Defense,Defense > Defense | Offense > Defense
4151,Iraid Obies,Elreid Orbes,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Bond,Mighty Save | Burnout Burst | Power Spike,180,225,233.5,196,191,201,925,Keep > Keep,Keep > Keep | Offense > Defense
4155,Jabat Grafis,Jabhat Graffias,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Breach,Mighty Save | Stomper Stopper | Utter Gutsiness Catch,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4156,Resat Halid,Lesath Tine,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Justice,Curving Cut | Slice and Dice | Pincer Pinch,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4157,Akra Niyat,Akram Alvayra,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Cunning Pull | Whirlwind Force | Pyrokinetic,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4158,Karab Tanres,Calkrab Antares,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Curve Shot | Desert Drift | Dinosaur Roar,230,273,231.5,170,172,164,733,Shoot > Offense,Shoot > Shoot | Offense > Defense
4159,Shaula Dokbar,Shaula Toxbarb,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Justice,Power Shot | Cupid's Arrow | Flower Plower,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4160,Res Ord,Res Ord,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Counter,Mighty Save | Snakebite | Fingers of Gaia,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4161,Doro Might,Doro Might,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Heel Flick | Boomerang Bluff | Pancake Defence,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4162,Kakugan Chart,Craig Chart,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Chip Shot | Jurassic Jaws | Dinosaur Roar,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4163,Mesa Bute,Mesa Bute,,女 (Female),,選手 (Player),,GK,MF,林 (Forest),Rough Play,Power Catch | All-Star | Flower Power,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4164,Sado Sajord,Sad Sajord,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Breach,Dust Kick | Kangaroo Kick | Jumbo Sandwich,209,264,242.5,185,184,175,762,Offense > Offense,Shoot > Offense | Defense > Defense
4165,Silt Deigan,Silt Deigan,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Rough Play,Curve Shot | Accelerator Gears | Samba Strike,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4166,Cord Ratozol,Cord Ratozol,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Feint Play | Slice and Dice | Pyrokinetic,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Defense | Offense > Defense
4167,Waji Kalelkawa,Warim Kalkawa,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Counter,Bounce Shot | Sidewinder | Samba Strike,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Offense | Offense > Defense
4168,Nomare Lusha,Nomare Lusha,,女 (Female),,選手 (Player),,FW,MF,山 (Mountain),Breach,Power Shot | Samba Strike | Copy Cut,230,273,231.5,170,172,164,733,Shoot > Shoot,Offense > Shoot | Offense > Defense
4169,Dry Karwack,Dry Karwack,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Bond,Mighty Save | Utter Gutsiness Catch | Gigant Wall,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4170,Nenban Slate,Nenban Slate,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Breach,Strong Punch | Burnout Burst | Breath Taker,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4171,Wakke Kosagan,Wacke Koshra,,男 (Male),,選手 (Player),,DF,FW,火 (Fire),Breach,Rolling Steal | Racing Flame | Warhead,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Shoot > Shoot
4172,Arenite Sekie,Arenite Serka,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Cunning Pull | Runaway Train | Slice and Dice,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4173,Furanuame Hidery,Feriando Hidery,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Tension,Dust Kick | Grand Slam | Gusher Crusher,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Shoot > Shoot
4174,Fogara Kanart,Foggara Kanart,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Bond,Power Shot | Driving Header | Gigaton Head,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4175,Flint Heutch,Flint Heutch,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Shoulder Tackle | Slice and Dice | Pyrokinetic,174,222,246,213,208,199,852,Defense > Defense,Shoot > Defense | Offense > Defense
4176,Jari Baras,Jari Baras,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Chip Shot | Dinosaur Roar | Tiger Drive,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Offense | Offense > Defense
4177,Hika Rabeer,Hika Rabeer,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Feint Play | Racing Flame | Warhead,167,209,244.5,224,220,208,870,Defense > Defense,Offense > Offense | Offense > Defense
4178,Deiats Yorhye,Dervan Yorhal,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Counter,Curve Shot | Jurassic Jaws | Samba Strike,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4179,Kudo Kanran,Kudon Kanran,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Counter,Dust Kick | Kangaroo Kick | Menacing Glare,209,273.5,253.5,181,183,164,733,Offense > Offense,Offense > Defense | Defense > Defense
4180,Dikas Cichlid,Derika Cachil,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Breach,Power Catch | Anchors Aweigh | Power Shield,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4181,Guppy Medica,Gupas Melaka,,女 (Female),,選手 (Player),,DF,MF,山 (Mountain),Breach,Cunning Pull | Land of Ice | Cyclone Sprint,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4182,Lidras Narse,Catro Corydoras,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Tension,Deceptive Step | Wind God's Dance | Gold Rush,209,264,242.5,185,184,175,762,Offense > Offense,Shoot > Defense | Shoot > Shoot
4183,Tetra Karashina,Tetrae Charlong,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Dust Kick | Illusory Ball | Sleeping Dust,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4184,Gurami Anabas,Guramki Abantis,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Rough Play,Chip Shot | Sonic Shot | Legendary Wolf,230,273,231.5,170,172,164,733,Shoot > Shoot,Offense > Shoot | Offense > Defense
4185,Hatata Tehaze,Hatara Tehaze,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Bond,Curve Shot | Plasma Ball | Air Ride,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4186,Kiro Beira,Kiroh Beira,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Feint Dash | Whirlwind Force | Frosticle,209,273.5,253.5,181,183,164,733,Offense > Defense,Offense > Offense | Defense > Defense
4187,Uzma Kyakko,Uzma Kyallak,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Counter,Crosscut Feint | Land of Ice | Spin Out,209,264,242.5,185,184,175,762,Offense > Defense,Defense > Shoot | Defense > Defense
4188,Betasup Rendens,Bettas Renden,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Bond,Bounce Shot | Mermaid Smash | Holy Roller,230,273,231.5,170,172,164,733,Shoot > Shoot,Offense > Offense | Offense > Defense
4189,Dumerilly Altam,Durmali Altos,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Tension,Power Catch | Somersault Stamp | Bridge to Nowhere,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4190,Unar Giil,Unahr Giil,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Breach,Low Drive | Bouncing Bunny | Astro Break,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4191,Hosoten Lokebory,Holsten Leebrook,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Counter,Feint Play | Mystifying Mist | Maestro's Call,174,222,246,213,208,199,852,Defense > Defense,Offense > Defense | Offense > Defense
4192,Anky Mo,Anky Mo,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Heel Flick | Menacing Glare | Major Miner,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Offense | Defense > Defense
4193,Menoha Seeweed,Menoh Seaweed,,女 (Female),,選手 (Player),,DF,MF,林 (Forest),Justice,Cunning Pull | Transporter Device | Southern Cross,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Defense
4194,Siane Mone,Sierra Mone,,女 (Female),,選手 (Player),,GK,MF,風 (Wind),Rough Play,Strong Punch | Anchors Aweigh | Crystal Barrier,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
4195,Pranu Rajelly,Piranu Rajelly,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Curving Cut | Pancake Defence | Transporter Device,174,222,246,213,208,199,852,Defense > Defense,Defense > Defense | Offense > Defense
4196,Cuculy Lione,Claria Leone,,女 (Female),,選手 (Player),,FW,MF,風 (Wind),Counter,Power Shot | Butterfly Trance | Spin Meister,230,273,231.5,170,172,164,733,Shoot > Shoot,Offense > Shoot | Offense > Defense
4197,Umiu Seaslug,Umral Seaslug,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Justice,Low Drive | Zephyr Shot | Plasma Ball,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4198,Chiry Menjakko,Cherrie Menjikko,,女 (Female),,選手 (Player),,DF,MF,山 (Mountain),Breach,Rolling Steal | Copy Cut | Samba Strike,174,222,246,213,208,199,852,Defense > Defense,Offense > Defense | Offense > Defense
4199,Sambasoy Sigro,Sambas Soya,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Breach,Chip Shot | Fortissimo | Z Slash,230,273,231.5,170,172,164,733,Shoot > Shoot,Shoot > Shoot | Offense > Defense
4200,Ogg Royury,Oggris Roya,,女 (Female),,選手 (Player),,GK,DF,風 (Wind),Rough Play,Power Catch | Flower Power | The Tower,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Defense > Defense
4201,Gallaf Saratoga,Galiaf Satonga,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Counter,Nutmeg | Accelerator Gears | Menacing Glare,209,264,242.5,185,184,175,762,Offense > Shoot,Defense > Offense | Defense > Defense
4202,Ei Mantarey,Eli Mantary,,女 (Female),,選手 (Player),,MF,DF,山 (Mountain),Justice,Deceptive Step | Kangaroo Kick | Land of Ice,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Defense | Defense > Defense
4203,Tetrodo Toxsin,Teodorus Toxsin,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Counter,Cunning Pull | Hyper-Swiper | Hoopsie-Daisy,174,222,246,213,208,199,852,Defense > Defense,Defense > Offense | Offense > Defense
4204,Minokka Sargo,Minack Sargo,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Bond,Mighty Save | Wild Dunk | Menace Elbow,176,220,230,193,189,198,913,Keep > Keep,Keep > Offense | Offense > Defense
